DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
11/24/2017 14:20,17.56,42.34,4.917,453.8,31.56,29784.61538,25211.15702,9571.084337
11/24/2017 14:30,17.64,43.68,4.916,440.8,31.44,29803.07692,25348.76033,9495.903614
11/24/2017 14:40,17.78,43.64,4.915,426.1,31.94,29532.30769,25378.5124,9576.86747
11/24/2017 14:50,17.95,43.41,4.915,410.8,31.62,29729.23077,25553.30579,9652.048193
11/24/2017 15:00,18.17,41.74,4.925,393.6,30.64,29790.76923,25642.56198,9547.951807
11/24/2017 15:10,18.25,42.64,4.917,375.0,30.04,29723.07692,25319.00826,9461.204819
11/24/2017 15:20,18.42,41.98,4.918,355.3,29.74,29335.38462,25170.24793,9513.253012
11/24/2017 15:30,18.54,42.58,4.915,333.5,29.71,29440.0,25270.66116,9594.216867
11/24/2017 15:40,18.45,42.44,4.914,311.6,29.07,29470.76923,24980.57851,9576.86747
11/24/2017 15:50,18.42,42.64,4.92,288.9,31.48,29070.76923,24857.85124,9513.253012
11/24/2017 16:00,18.47,42.94,4.917,263.5,40.97,28923.07692,24794.6281,9466.987952
11/24/2017 16:10,18.5,43.31,4.911,239.3,73.8,29101.53846,24668.18182,9414.939759
11/24/2017 16:20,18.49,43.74,4.914,214.1,131.6,29187.69231,24340.90909,9536.385542
11/24/2017 16:30,18.34,44.44,4.913,189.7,180.8,29458.46154,24538.01653,9773.493976
11/24/2017 16:40,18.21,44.64,4.915,165.7,189.2,29827.69231,24999.17355,10103.13253
11/24/2017 16:50,18.09,46.31,4.915,141.6,171.0,30080.0,25553.30579,10727.71084
11/24/2017 17:00,17.9,48.18,4.919,118.5,146.5,30972.30769,26274.79339,12028.91566
11/24/2017 17:10,17.65,50.08,4.915,96.0,120.2,32295.38462,27933.47107,14029.87952
11/24/2017 17:20,17.41,52.22,4.916,75.8,96.2,35704.61538,30748.76033,15198.07229
11/24/2017 17:30,17.26,52.82,4.921,56.07,71.8,37778.46154,32511.57025,15585.54217
11/24/2017 17:40,17.11,54.29,4.92,26.93,31.98,38707.69231,32939.2562,15730.12048
11/24/2017 17:50,16.86,54.62,4.921,9.89,9.68,38781.53846,33288.84298,15955.66265
11/24/2017 18:00,16.86,54.29,4.921,6.094,5.935,38867.69231,32969.00826,16082.89157
11/24/2017 18:10,16.81,54.39,4.922,2.992,2.94,39446.15385,33180.99174,16325.78313
11/24/2017 18:20,16.79,54.39,4.917,0.889,0.934,39396.92308,33340.90909,16383.61446
11/24/2017 18:30,16.78,54.49,4.92,0.219,0.115,39458.46154,33482.2314,16314.21687
11/24/2017 18:40,16.82,54.49,4.918,0.102,0.037,38892.30769,33511.98347,16273.73494
11/24/2017 18:50,16.73,55.09,4.916,0.091,0.033,38541.53846,33102.89256,16186.98795
11/24/2017 19:00,16.78,55.26,4.916,0.04,0.052,38461.53846,32652.89256,16192.77108
11/24/2017 19:10,16.8,56.22,4.92,0.07,0.037,38701.53846,32697.52066,16337.3494
11/24/2017 19:20,16.64,56.69,4.918,0.055,0.044,38769.23077,32749.58678,16221.68675
11/24/2017 19:30,16.58,57.22,4.918,0.073,0.041,38332.30769,32437.19008,16192.77108
11/24/2017 19:40,16.57,57.59,4.92,0.084,0.044,37932.30769,32262.39669,16129.15663
11/24/2017 19:50,16.75,57.22,4.921,0.04,0.037,37796.92308,31823.55372,16146.50602
11/24/2017 20:00,16.89,56.39,4.915,0.059,0.052,37772.30769,31838.42975,16320.0
11/24/2017 20:10,16.79,56.39,4.919,0.037,0.044,38147.69231,32154.54545,16314.21687
11/24/2017 20:20,16.64,57.02,4.919,0.073,0.044,38227.69231,32247.52066,16343.13253
11/24/2017 20:30,16.62,57.16,4.921,0.066,0.041,38092.30769,31823.55372,16337.3494
11/24/2017 20:40,16.27,59.36,4.92,0.059,0.052,37895.38462,31812.39669,16348.91566
11/24/2017 20:50,15.61,61.19,4.918,0.055,0.082,37390.76923,31581.81818,16215.90361
11/24/2017 21:00,15.41,62.13,4.914,0.08,0.059,37021.53846,31399.58678,16094.45783
11/24/2017 21:10,16.1,62.0,4.916,0.059,0.033,36941.53846,31124.38017,16117.59036
11/24/2017 21:20,16.54,59.53,4.923,0.055,0.041,36750.76923,31038.84298,16013.49398
11/24/2017 21:30,16.57,59.16,4.925,0.051,0.037,36270.76923,30629.75207,15805.3012
11/24/2017 21:40,16.92,57.96,4.923,0.08,0.037,35747.69231,29867.35537,15568.19277
11/24/2017 21:50,16.83,58.53,4.926,0.044,0.037,35341.53846,29406.19835,15261.68675
11/24/2017 22:00,16.95,57.62,4.918,0.048,0.048,34929.23077,28833.47107,14955.18072
11/24/2017 22:10,16.91,57.32,4.916,0.051,0.067,34553.84615,28268.18182,14793.25301
11/24/2017 22:20,17.12,55.26,4.925,0.048,0.056,33969.23077,27747.52066,14712.28916
11/24/2017 22:30,17.14,53.45,3.011,0.059,0.059,33366.15385,27494.6281,14359.51807
11/24/2017 22:40,17.23,52.99,0.078,0.073,0.1,32701.53846,26791.73554,14081.92771
11/24/2017 22:50,17.24,52.75,0.076,0.048,0.041,32043.07692,26334.29752,14029.87952
11/24/2017 23:00,17.24,52.72,0.079,0.051,0.056,31495.38462,25802.47934,13839.03614
11/24/2017 23:10,17.22,52.62,0.079,0.073,0.056,30720.0,25575.61983,13659.75904
11/24/2017 23:20,17.24,52.65,0.076,0.066,0.052,30030.76923,25036.36364,13370.60241
11/24/2017 23:30,17.22,53.52,0.078,0.048,0.078,29144.61538,24359.50413,13012.04819
11/24/2017 23:40,17.39,52.92,0.076,0.07,0.07,28486.15385,23686.36364,12607.22892
11/24/2017 23:50,17.39,52.72,0.077,0.059,0.096,27950.76923,23054.13223,12370.12048
11/25/2017 0:00,17.41,52.69,0.075,0.091,0.056,27212.30769,22429.33884,12248.6747
11/25/2017 0:10,17.36,53.35,0.078,0.062,0.033,26664.61538,21819.42149,12190.84337
11/25/2017 0:20,17.31,53.92,0.075,0.08,0.056,25981.53846,21228.09917,11942.16867
11/25/2017 0:30,17.36,53.92,0.075,0.08,0.074,25569.23077,20971.4876,11745.54217
11/25/2017 0:40,17.36,54.09,0.08,0.051,0.067,25120.0,20432.2314,11716.62651
